"family","resource_family","gender","view","symbol","base_type","reference_view","phase","direction","source_key","source_action","preferred_frame","selected_frame","dx","dy","mirror_xor","rotation_delta"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","0","0","32","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","1","0","33","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","2","0","34","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","2","64","82","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","3","0","35","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","3","64","83","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","4","0","36","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","4","64","84","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","5","0","37","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","5","64","85","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","6","0","38","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","0","7","0","39","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","1","0","4","80","4","4","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","1","1","4","81","4","4","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","1","2","0","82","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","1","3","0","83","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","1","4","0","84","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","1","5","0","85","0","0","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","1","6","4","86","4","4","0","0","0","0"
"0","어세신","0","34","WEAPONTYPE_Zeny_Knife","1","34","1","7","4","87","4","4","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","0","0","32","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","0","68","80","4","4","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","1","0","33","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","1","68","81","4","4","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","2","0","34","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","2","64","82","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","3","0","35","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","3","64","83","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","4","0","36","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","4","64","84","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","5","0","37","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","5","64","85","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","6","0","38","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","6","68","86","4","4","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","7","0","39","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","0","7","68","87","4","4","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","0","4","80","4","4","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","0","5","80","5","5","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","1","4","81","4","4","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","1","5","81","5","5","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","2","0","82","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","3","0","83","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","4","0","84","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","5","0","85","0","0","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","6","4","86","4","4","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","6","5","86","5","5","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","7","4","87","4","4","0","0","0","0"
"0","어세신","0","45","WEAPONTYPE_Twin_Edge_B","2","45","1","7","5","87","5","5","0","0","0","0"
